ID,Name,Age,Nationality,Overall,Potential,Club, Value , Wage ,Special
20801,Cristiano Ronaldo,32.00,Portugal,94.00,94.00,Real Madrid CF, 95.5M , 565K ,2228.00
158023,L. Messi,30.00,Argentina,93.00,93.00,FC Barcelona, 105M , 565K ,2154.00
190871,Neymar,25.00,Brazil,92.00,94.00,Paris Saint-Germain, 123M , 280K ,2100.00
176580,L. Suárez,30.00,Uruguay,92.00,92.00,FC Barcelona, 97M , 510K ,2291.00
167495,M. Neuer,31.00,Germany,92.00,92.00,FC Bayern Munich, 61M , 230K ,1493.00
188545,R. Lewandowski,28.00,Poland,91.00,91.00,FC Bayern Munich, 92M , 355K ,2143.00
193080,De Gea,26.00,Spain,90.00,92.00,Manchester United, 64.5M , 215K ,1458.00
183277,E. Hazard,26.00,Belgium,90.00,91.00,Chelsea, 90.5M , 295K ,2096.00
182521,T. Kroos,27.00,Germany,90.00,90.00,Real Madrid CF, 79M , 340K ,2165.00
167664,G. Higuaín,29.00,Argentina,90.00,90.00,Juventus, 77M , 275K ,1961.00
155862,Sergio Ramos,31.00,Spain,90.00,90.00,Real Madrid CF, 52M , 310K ,2153.00
192985,K. De Bruyne,26.00,Belgium,89.00,92.00,Manchester City, 83M , 285K ,2162.00
192119,T. Courtois,25.00,Belgium,89.00,92.00,Chelsea, 59M , 190K ,1282.00
184941,A. Sánchez,28.00,Chile,89.00,89.00,Arsenal, 67.5M , 265K ,2181.00
177003,L. Modrić,31.00,Croatia,89.00,89.00,Real Madrid CF, 57M , 340K ,2228.00
173731,G. Bale,27.00,Wales,89.00,89.00,Real Madrid CF, 69.5M , 370K ,2263.00
153079,S. Agüero,29.00,Argentina,89.00,89.00,Manchester City, 66.5M , 325K ,2074.00
138956,G. Chiellini,32.00,Italy,89.00,89.00,Juventus, 38M , 225K ,1867.00
1179,G. Buffon,39.00,Italy,89.00,89.00,Juventus, 4.5M , 110K ,1335.00
211110,P. Dybala,23.00,Argentina,88.00,93.00,Juventus, 79M , 215K ,2063.00
200389,J. Oblak,24.00,Slovenia,88.00,93.00,Atlético Madrid, 57M , 82K ,1290.00
194765,A. Griezmann,26.00,France,88.00,91.00,Atlético Madrid, 75M , 150K ,2104.00
189509,Thiago,26.00,Spain,88.00,90.00,FC Bayern Munich, 70.5M , 225K ,2185.00
188567,P. Aubameyang,28.00,Gabon,88.00,88.00,Borussia Dortmund, 61M , 165K ,2078.00
184344,L. Bonucci,30.00,Italy,88.00,88.00,Milan, 44M , 210K ,1995.00
183907,J. Boateng,28.00,Germany,88.00,88.00,FC Bayern Munich, 48M , 215K ,1989.00
182493,D. Godín,31.00,Uruguay,88.00,88.00,Atlético Madrid, 40M , 125K ,1930.00
178603,M. Hummels,28.00,Germany,88.00,88.00,FC Bayern Munich, 48M , 215K ,2038.00
176635,M. Özil,28.00,Germany,88.00,88.00,Arsenal, 60M , 265K ,1927.00
167948,H. Lloris,30.00,France,88.00,88.00,Tottenham Hotspur, 38M , 165K ,1318.00
164240,Thiago Silva,32.00,Brazil,88.00,88.00,Paris Saint-Germain, 34M , 175K ,2124.00
41236,Z. Ibrahimović,35.00,Sweden,88.00,88.00,Manchester United, 27M , 240K ,2075.00
9014,A. Robben,33.00,Netherlands,88.00,88.00,FC Bayern Munich, 36M , 225K ,2081.00
215914,N. Kanté,26.00,France,87.00,90.00,Chelsea, 52.5M , 190K ,2154.00
199556,M. Verratti,24.00,Italy,87.00,91.00,Paris Saint-Germain, 64.5M , 130K ,2154.00
195864,P. Pogba,24.00,France,87.00,92.00,Manchester United, 66.5M , 195K ,2238.00
190460,C. Eriksen,25.00,Denmark,87.00,91.00,Tottenham Hotspur, 65M , 165K ,2064.00
181872,A. Vidal,30.00,Chile,87.00,87.00,FC Bayern Munich, 37.5M , 160K ,2278.00
179813,E. Cavani,30.00,Uruguay,87.00,87.00,Paris Saint-Germain, 48.5M , 160K ,2097.00
176676,Marcelo,29.00,Brazil,87.00,87.00,Real Madrid CF, 38M , 250K ,2209.00
171877,M. Hamšík,29.00,Slovakia,87.00,87.00,Napoli, 48.5M , 130K ,2184.00
168651,I. Rakitić,29.00,Croatia,87.00,87.00,FC Barcelona, 48.5M , 275K ,2129.00
168542,David Silva,31.00,Spain,87.00,87.00,Manchester City, 44M , 220K ,1977.00
162835,S. Handanovič,32.00,Slovenia,87.00,87.00,Inter, 29M , 91K ,1264.00
152729,Piqué,30.00,Spain,87.00,87.00,FC Barcelona, 37.5M , 240K ,1974.00
41,Iniesta,33.00,Spain,87.00,87.00,FC Barcelona, 29.5M , 260K ,2073.00
202126,H. Kane,23.00,England,86.00,90.00,Tottenham Hotspur, 59M , 165K ,2057.00
198710,J. Rodríguez,25.00,Colombia,86.00,89.00,FC Bayern Munich, 56M , 250K ,2118.00
197781,Isco,25.00,Spain,86.00,90.00,Real Madrid CF, 56.5M , 250K ,2105.00
197445,D. Alaba,25.00,Austria,86.00,88.00,FC Bayern Munich, 44.5M , 150K ,2278.00
192505,R. Lukaku,24.00,Belgium,86.00,90.00,Manchester United, 59M , 210K ,1997.00
191043,Alex Sandro,26.00,Brazil,86.00,88.00,Juventus, 44M , 175K ,2207.00
189596,T. Müller,27.00,Germany,86.00,86.00,FC Bayern Munich, 47.5M , 190K ,2078.00
189511,Sergio Busquets,28.00,Spain,86.00,86.00,FC Barcelona, 36M , 250K ,1998.00
189242,Coutinho,25.00,Brazil,86.00,89.00,Liverpool, 56M , 205K ,2049.00
188350,M. Reus,28.00,Germany,86.00,86.00,Borussia Dortmund, 45M , 120K ,2157.00
184087,T. Alderweireld,28.00,Belgium,86.00,87.00,Tottenham Hotspur, 40.5M , 165K ,2047.00
179944,David Luiz,30.00,Brazil,86.00,86.00,Chelsea, 33M , 190K ,2123.00
179844,Diego Costa,28.00,Spain,86.00,86.00,Chelsea, 46M , 235K ,1984.00
178518,R. Nainggolan,29.00,Belgium,86.00,86.00,Roma, 42.5M , 130K ,2286.00
177610,Javi Martínez,28.00,Spain,86.00,86.00,FC Bayern Munich, 36M , 165K ,1973.00
175943,D. Mertens,30.00,Belgium,86.00,86.00,Napoli, 43M , 135K ,2035.00
172879,Sokratis,29.00,Greece,86.00,86.00,Borussia Dortmund, 34.5M , 110K ,1885.00
168609,Miranda,32.00,Brazil,86.00,86.00,Inter, 25.5M , 115K ,1890.00
165153,K. Benzema,29.00,France,86.00,86.00,Real Madrid CF, 44.5M , 295K ,1950.00
162895,Cesc Fàbregas,30.00,Spain,86.00,86.00,Chelsea, 41M , 210K ,2118.00
156616,F. Ribéry,34.00,France,86.00,86.00,FC Bayern Munich, 22.5M , 175K ,1965.00
120533,Pepe,34.00,Portugal,86.00,86.00,Beşiktaş JK, 13.5M , 94K ,1839.00
48940,P. Čech,35.00,Czech Republic,86.00,86.00,Arsenal, 10.5M , 92K ,1206.00
208418,Y. Carrasco,23.00,Belgium,85.00,90.00,Atlético Madrid, 51.5M , 77K ,1991.00
201535,R. Varane,24.00,France,85.00,92.00,Real Madrid CF, 46.5M , 175K ,1875.00
200145,Casemiro,25.00,Brazil,85.00,89.00,Real Madrid CF, 42M , 195K ,2138.00
198219,L. Insigne,26.00,Italy,85.00,86.00,Napoli, 45M , 115K ,1949.00
193301,A. Lacazette,26.00,France,85.00,88.00,Arsenal, 48.5M , 180K ,2063.00
193041,K. Navas,30.00,Costa Rica,85.00,85.00,Real Madrid CF, 24.5M , 165K ,1301.00
192883,H. Mkhitaryan,28.00,Armenia,85.00,85.00,Manchester United, 39M , 195K ,2148.00
192593,D. Subašić,32.00,Croatia,85.00,85.00,AS Monaco, 22M , 46K ,1305.00
192563,B. Leno,25.00,Germany,85.00,88.00,Bayer 04 Leverkusen, 34M , 61K ,1247.00
192448,M. ter Stegen,25.00,Germany,85.00,89.00,FC Barcelona, 35.5M , 155K ,1274.00
190547,K. Glik,29.00,Poland,85.00,85.00,AS Monaco, 30M , 60K ,1612.00
189332,Jordi Alba,28.00,Spain,85.00,85.00,FC Barcelona, 30.5M , 215K ,2206.00
186942,I. Gündoğan,26.00,Germany,85.00,87.00,Manchester City, 46M , 190K ,2148.00
184432,Azpilicueta,27.00,Spain,85.00,87.00,Chelsea, 37.5M , 160K ,2099.00
183898,A. Di María,29.00,Argentina,85.00,85.00,Paris Saint-Germain, 37.5M , 145K ,2115.00
